song,artist,year,wave,hype_moment
Ultimate,Denzel Curry,2015,SoundCloud rap,"Released June 9, 2015 to silence; one ""Stop It, Joe"" Vine on Feb 6, 2016 pulled ~8.6M loops, 212K likes and 80K revines in three months and made ""I am the one"" the sound of 2016 Vine."
One Night,Lil Yachty,2015,SoundCloud rap,"SoundCloud Aug 19, 2015; a Feb 2016 Caleon Fox Vine skit ""blew up on every social media platform within hours"" and the track sits at 39M+ SoundCloud plays."
Look at Me!,XXXTentacion,2015,SoundCloud rap,"Rojas's SoundCloud, Dec 30, 2015; Drake's ""KMT"" flow controversy sent it onto the Hot 100 at #94 (Feb 25, 2017) then #34, 76M+ SoundCloud streams, and the May 6, 2017 Rolling Loud set had security pulling him from the pit."
Panda,Desiigner,2015,SoundCloud rap,"SoundCloud Dec 15, 2015 (1M+ plays, ""lightly viral""); Kanye built ""Father Stretch My Hands Pt. 2"" on it Feb 14, 2016; 22.3M US weekly streams (+48% w/w), 38.5M weekly by May 28, #1 Hot 100 May 7, 2016."
Water,Ugly God,2016,SoundCloud rap,"SoundCloud Mar 16, 2016; on Billboard's Spotify Velocity and Viral 50 charts by year-end, 76M streams by March 2017 with zero radio (DJBooth: ""further proof radio is broken"")."
XO Tour Llif3,Lil Uzi Vert,2017,SoundCloud rap,"Leaked to SoundCloud Feb 26, 2017 with no art or video: 6.64M+ plays in two weeks, SoundCloud's #1 song of 2017 at 148M (5.5x the top pop song), 1.3B streams across platforms by Sept 2017."
Magnolia,Playboi Carti,2017,SoundCloud rap,"The April 14, 2017 single the fans picked off the mixtape; Complex named it a Song of the Summer contender within a month, Jay-Z called it ""incredible,"" Kimmel debut in June (proxy: no stream count recovered)."
The Race,Tay-K,2017,SoundCloud rap,Uploaded June 2017 while he was a fugitive (US Marshals arrested him the day it dropped); 10M+ YouTube views and a Billboard chart entry within a month.
Gucci Gang,Lil Pump,2017,SoundCloud rap,"Ben Griffin video Oct 23, 2017 gained 75M+ views in three weeks, the biggest 21-day YouTube figure in the research; 108M+ combined Spotify/YouTube streams by late October."
Gummo,6ix9ine,2017,SoundCloud rap,"648,029 first-week YouTube views (low-confidence source) became 29M+ in a month; 100M+ SoundCloud streams and #1 on SoundCloud's chart for all of Dec 2017–Jan 2018."
Lucid Dreams,Juice WRLD,2017,SoundCloud rap,"SoundCloud June 15, 2017; 2M+ plays got a $3M Interscope deal (Mar 2018) after exactly one public show; Cole Bennett video May 11, 2018; SoundCloud's #1 track of 2018 at 123M plays."
Back to Back,Drake,2015,Peak era: event drops & moshpits,"Surprise diss July 29, 2015 debuted at #21 Hot 100; five days later the OVO Fest crowd chanted it ""like it was his biggest Platinum hit."""
Father Stretch My Hands Pt. 1,Kanye West,2016,Peak era: event drops & moshpits,"TLOP premiered live from Madison Square Garden Feb 14, 2016; Tidal claimed 250M streams in 10 days (disputed) and the album became the first to hit #1 primarily on streaming."
HUMBLE.,Kendrick Lamar,2017,Peak era: event drops & moshpits,"No-warning video Mar 30, 2017 did ~500,000 YouTube views in 90 minutes; 49.8M US streams on the chart dated Apr 22, 2017 (the ""Spotify day-one record"" claim could not be verified)."
DNA.,Kendrick Lamar,2017,Peak era: event drops & moshpits,"DAMN. did 50M+ streams in its first 24 hours (Apr 14, 2017) and 340.6M in week one, 2017's biggest; the beat switch became the era's purest rage cue."
Mo Bamba,Sheck Wes,2017,Peak era: event drops & moshpits,"SoundCloud June 16, 2017 ""without record label or radio support""; after a year of crowd-video spread it debuted at #82 (Sept 8, 2018) and climbed 76 spots to #6 in about eight weeks (delayed detonation, community-first)."
SICKO MODE,Travis Scott ft. Drake,2018,Peak era: event drops & moshpits,"ASTROWORLD did 64.5M day-one US Apple Music streams (Aug 3, 2018); the song did 55.1M streams in release week and #1 on Apple/Spotify US, then took a 17-week climb to Hot 100 #1."
Rubbin Off the Paint,YBN Nahmir,2017,Lyrical Lemonade / WSHH YouTube era,"SoundCloud Aug 21, 2017; the WorldStar premiere Sept 18, 2017 pulled 22M+ views in four weeks, an Alabama gamer kid's first-ever video."
Red Roses,Lil Skies ft. Landon Cube,2017,Lyrical Lemonade / WSHH YouTube era,"Lyrical Lemonade Oct 18, 2017; Skies signed to Atlantic the same season off the ""i""/""Nowadays""/""Red Roses"" run (proxy: signing lag; 251M+ views by Oct 2022)."
Thotiana,Blueface,2018,Lyrical Lemonade / WSHH YouTube era,"WSHH video July 5, 2018; the ""Respect My Cryppin'"" meme (Oct 2018) back-propagated onto it, Cole Bennett's YG remix video (Jan 25, 2019) did 11M+ views in a few weeks and it debuted at #75 the next day."
Shotta Flow,NLE Choppa,2019,Lyrical Lemonade / WSHH YouTube era,"Self-released Jan 2019: 915,000 views in week one, 10M in a month, and a three-way $3M bidding war (Republic/Interscope/Caroline) inside 30 days, which the 16-year-old turned down."
Pop Out,Polo G ft. Lil Tjay,2019,Lyrical Lemonade / WSHH YouTube era,"Video Jan 13, 2019 did 2M+ views in four days; Columbia had the single out by Feb 1, about three weeks later."
Suge,DaBaby,2019,Lyrical Lemonade / WSHH YouTube era,"Self-directed video Mar 4, 2019 passed 100M views by ~July 6 (~4 months) and 185M+ by year-end; Billboard convened a staff roundtable when it cracked the top 40."
Ransom,Lil Tecca,2019,Lyrical Lemonade / WSHH YouTube era,"Lyrical Lemonade May 22, 2019: 21M+ views in under a month, Hot 100 debut at #93 three weeks after upload, 3.3M Spotify streams a day in late August, #4 peak in ~8 weeks."
Bandit,Juice WRLD ft. YoungBoy Never Broke Again,2019,Lyrical Lemonade / WSHH YouTube era,"Lyrical Lemonade Oct 4, 2019: 2.4M views in just over 12 hours and #2 on YouTube Trending, the best sub-24-hour figure in the era."
First Day Out,Tee Grizzley,2016,Regional street,"Recorded the day he left prison; the Nov 7, 2016 video did 2M views in under three weeks, and LeBron James rapping it on camera spawned the ""LeBron James Challenge."""
Shoot,BlocBoy JB,2017,Regional street,"July 25, 2017 closet recording; the dance went from Frayser mirrors to Fortnite (""Hype,"" May 2018) and a lawsuit against Epic on only ~5.5M official video views."
Look Alive,BlocBoy JB ft. Drake,2018,Regional street,"The shoot dance got so big Drake showed up to learn it on camera; released Feb 8, 2018 and debuted at #6 on the Hot 100."
Respect My Cryppin',Blueface,2018,Regional street,"WSHH upload Oct 8, 2018 did 2M views in a month; the offbeat flow hit Twitter and made him a meme before he was a rapper."
Welcome to the Party,Pop Smoke,2019,Regional street,"Apr 23, 2019; spread through Instagram ""within weeks,"" took over New York, Nicki Minaj (Aug 15) and Skepta (Aug 21) remixes inside one week, multimillion-dollar deal (proxy: no first-week count)."
Big Drip,Fivio Foreign,2019,Regional street,"June 5, 2019; lived in Instagram Stories until it was worth a multimillion-dollar deal; >7M Spotify / >12M YouTube at interview time (proxy: modest raw numbers)."
Whoopty,CJ,2020,Regional street,"Self-released July 30, 2020; Warner signed and re-released it after the TikTok run; #10 Hot 100 by Feb 2021, #3 UK (proxy: signing lag)."
Back in Blood,Pooh Shiesty ft. Lil Durk,2020,Regional street,"Nov 6, 2020; reached #13 Hot 100 and #2 Rap Streaming Songs before a video existed (video Jan 2, 2021); now 8x Platinum."
The Box,Roddy Ricch,2019,TikTok & 2020s,"Never a single, no launch video; TikTok keyed on the ""eee-urr"" squeak mid-Dec 2019; 32M US streams in its first week, 68.2M the week ending Jan 9, 2020, 1.5M TikTok videos, 11 weeks at #1."
Savage,Megan Thee Stallion,2020,TikTok & 2020s,"Keara Wilson posted her dance five days running before it caught; 15.7M views / 2.4M likes by Mar 20, 2020, Megan's own version Mar 16; TikTok's most-played song of March 2020."
Whole Lotta Choppas,Sada Baby,2020,TikTok & 2020s,"Aug 14, 2020; @ohbukster's challenge produced 5.8M TikTok videos and 1.3B sound plays; #92 debut, Nicki Minaj remix Oct 16 pushed it to #35."
Stop Breathing,Playboi Carti,2020,TikTok & 2020s,"Whole Lotta Red dropped Christmas Day 2020: #1 on Twitter, three of YouTube's top-10 trending slots, 112.1M US streams and 100,000 units in one week, and a fanbase that argued about it for a year."
Gët Busy,Yeat,2021,TikTok & 2020s,"Sept 1, 2021; the bell became the meme, Drake, Lil Yachty and Druski quoted it, and it barely charted with zero radio (proxy: the Chartmetric case study was blocked)."
family ties,Baby Keem & Kendrick Lamar,2021,TikTok & 2020s,"Aug 27, 2021: Kendrick's first verse since 2018 at 2am with no warning; Keem's first top-20 and a Best Rap Performance Grammy (proxy: no day-one figure recovered)."
F.N.F. (Let's Go),GloRilla & Hitkidd,2022,TikTok & 2020s,"Apr 29, 2022; ""labels started calling the following morning,"" #FNFChallenge 9M+ views, 399,000+ TikTok creations, CMG deal in ~10 weeks on a #42 peak."
Rich Minion,Yeat,2022,TikTok & 2020s,"Dropped June 28, 2022 inside a Lyrical Lemonade Minions trailer; 2.4M+ TikTok videos and the GentleMinions theater phenomenon; #38 Hot 100."
Munch (Feelin' U),Ice Spice,2022,TikTok & 2020s,"Aug 10, 2022; Drake played it on OVO Sound Radio, flew her to Toronto and posted her on his IG story within a month; #munch 2B+ TikTok views."
Just Wanna Rock,Lil Uzi Vert,2022,TikTok & 2020s,"Oct 17, 2022; TikToks using it collected 500M views within three weeks; #10 Hot 100 and #1 Hot Rap Songs."
Pound Town,Sexyy Red,2023,TikTok & 2020s,"Jan 27, 2023; broke during Miami spring break with no usable radio edit; 250,000+ TikTok clips."
SkeeYee,Sexyy Red,2023,TikTok & 2020s,"June 9, 2023 ad-lib became all-purpose comedy audio; #1 on the inaugural TikTok Billboard Top 50 (Sept 14, 2023) and Rolling Stone's #1 rap song of 2023."
FE!N,Travis Scott ft. Playboi Carti,2023,TikTok & 2020s,"UTOPIA (July 28, 2023) had Apple Music's biggest first-day of 2023; ""FE!N"" debuted with 25.6M streams and its run-it-back live ritual became the era's signature bit."
Like That,"Future, Metro Boomin & Kendrick Lamar",2024,TikTok & 2020s,"Mar 22, 2024: 59.6M US streams in week one (2024's biggest week), 91M global, #1 Hot 100 debut, a three-way war started inside 45 seconds of a surprise album."
euphoria,Kendrick Lamar,2024,TikTok & 2020s,"Apr 30, 2024 YouTube-first audio drop: 9.206M opening-day Spotify streams, at the time the largest for any hip-hop song in 2024."
Not Like Us,Kendrick Lamar,2024,TikTok & 2020s,"May 4, 2024: 10.986M Spotify streams day one, ~12.809M on day four (12.2M per KTT2) breaking ""Girls Want Girls"" 12.385M; video did 18–20M views in under 24h; performed five (or six) times at The Pop Out June 19."
